Time; DeltaTCP
1470316216,2869119644165039;2e-06
1470316216,2869129180908203;1e-06
1470316216,3082010746002197;0,021247
1470316216,3082039356231689;3e-06
1470316216,3082060813903809;2e-06
1470316216,3082060813903809;0
1470316216,3281700611114502;0,019044
1470316216,3281729221343994;3e-06
1470316216,3534529209136963;0,012884
1470316216,3880600929260254;0,006093
1470316216,3987100124359131;0,008684
1470316216,4453070163726807;0,057247
1470316216,4453120231628418;5e-06
1470316216,4519579410552979;0,006611
1470316216,5131950378417969;0,037891
1470316216,5131969451904297;2e-06
1470316216,5132019519805908;5e-06
1470316216,5744268894195557;0,061191
1470316216,5770890712738037;0,002633
1470316216,6103699207305908;0,024647
1470316216,6117019653320312;0,001332
1470316216,6117029190063477;0,017546
1470316216,6396570205688477;0,027921
1470316216,6556279659271240;0,004156
1470316216,6702749729156494;0,014647
1470316216,6982340812683105;0,027959
1470316216,6982369422912598;3e-06
1470316216,7221970558166504;0,023921
1470316216,7661240100860596;0,012797
1470316216,7674520015716553;0,001283
1470316216,7674539089202881;2e-06
1470316216,7674551010131836;1e-06
1470316216,7674579620361328;3e-06
1470316216,7674589157104492;1e-06
1470316216,7674610614776611;2e-06
1470316216,7701129913330078;0,002629
1470316216,7701148986816406;2e-06
1470316216,7701170444488525;2e-06
1470316216,7980740070343018;0,027927
1470316216,7980759143829346;2e-06
1470316216,8446650505065918;0,046841
1470316216,8446669578552246;0,046542
1470316216,8632919788360596;0,007155
1470316216,9125459194183350;0,00555
1470316216,9298539161682129;0,017308
1470316216,9298560619354248;2e-06
1470316216,9644649028778076;0,034582
1470316217,0017409324645996;0,037276
1470316217,0017430782318115;2e-06
1470316217,0017449855804443;2e-06
1470316217,0070610046386719;0,004719
1470316217,0230360031127930;0,02126
1470316217,0656309127807617;1,96227
1470316217,0682981014251709;0,029921
1470316217,0682990550994873;1e-06
1470316217,1108939647674561;0,042559
1470316217,1268689632415771;0,015946
1470316217,1827809810638428;0,000648
1470316217,1854441165924072;0,001732
1470316217,1854460239410400;2e-06
1470316217,1907649040222168;0,005284
1470316217,1907670497894287;2e-06
1470316217,1920969486236572;0,003174
1470316217,2240500450134277;0,033283
1470316217,2240529060363770;3e-06
1470316217,2240550518035889;2e-06
1470316217,2240569591522217;2e-06
1470316217,2253799438476562;0,001286
1470316217,2253820896148682;2e-06
1470316217,2253839969635010;2e-06
1470316217,2253859043121338;2e-06
1470316217,2253880500793457;2e-06
1470316217,2693068981170654;0,027294
1470316217,2693090438842773;2e-06
1470316217,2693109512329102;2e-06
1470316217,2999329566955566;0,03059
1470316217,3412010669708252;0,041268
1470316217,3412048816680908;4e-06
1470316217,3704850673675537;0,029221
1470316217,3704879283905029;3e-06
1470316217,3704888820648193;0,012201
1470316217,3891110420227051;0,002169
1470316217,3997609615325928;0,010619
1470316217,4436900615692139;0,002867
1470316217,4609971046447754;0,017307
1470316217,4609990119934082;2e-06
1470316217,5089190006256104;0,031253
1470316217,5408689975738525;0,03195
1470316217,5408709049224854;2e-06
1470316217,5408749580383301;4e-06
1470316217,5821340084075928;0,019219
1470316217,5821359157562256;0,041231
1470316217,5981109142303467;0,015975
1470316217,5981130599975586;2e-06
1470316217,6327180862426758;0,016605
1470316217,6620049476623535;0,029256
1470316217,6926250457763672;0,008636
1470316217,6926269531250000;2e-06
1470316217,6926290988922119;2e-06
1470316217,6926310062408447;2e-06
1470316217,6926319599151611;1e-06
1470316217,6979470252990723;0,005277
1470316217,6979510784149170;4e-06
1470316217,6979529857635498;2e-06
1470316217,6979539394378662;1e-06
1470316217,7312300205230713;0,015074
1470316217,7312300205230713;0
1470316217,7312319278717041;2e-06
1470316217,7565190792083740;0,025249
1470316217,7711598873138428;0,004108
1470316217,8177549839019775;0,011309
1470316217,8390541076660156;0,021256
1470316217,8390579223632812;4e-06
1470316217,8390591144561768;1e-06
1470316217,8616809844970703;0,022592
1470316217,9149301052093506;0,021809
1470316217,9149310588836670;1e-06
1470316217,9295699596405029;0,003512
1470316217,9309010505676270;0,001331
1470316217,9774999618530273;0,006858
1470316217,9974689483642578;0,014566
1470316218,0227570533752441;0,025288
1470316218,0227620601654053;5e-06
1470316218,0280809402465820;0,005276
1470316218,0280830860137939;2e-06
1470316218,0573670864105225;0,029256
1470316218,1012980937957764;0,000582
1470316218,1013000011444092;2e-06
1470316218,1013050079345703;5e-06
1470316218,1106119155883789;0,009273
1470316218,1399009227752686;0,029265
1470316218,1399030685424805;2e-06
1470316218,1478850841522217;0,006825
1470316218,1651909351348877;0,025257
1470316218,1665270328521729;0,001336
1470316218,1665310859680176;4e-06
1470316218,1665329933166504;2e-06
1470316218,1665349006652832;2e-06
